Expected_Runs,Temp,Humidity,Rain,pitcher_SO,pitcher_DRA,pitcher_ERA,pitcher_PPF,pitcher_VORP,pitcher_FIP,pitcher_PVORP,pitcher_PWARP,pitcher_BASES_VS_AB,pitcher_hit_mult,def_H,def_HR,def_GB%,def_FB%,def_LD%,def_POP%,def_DP%,R_batter,TB_batter,SO_batter,RBI_batter,DP_batter,FB%_batter,GB%_batter,LD%_batter,POP%_batter,ISO_batter,AVG_batter,OBP_batter,SLG_batter,TAV_batter,BASES_VS_AB_batter,SDTHB_BAT,bat_SO,bat_RBI,bat_DP,bat_FB%,bat_GB%,bat_LD%,bat_POP%,bat_ISO,bat_AVG,bat_OBP,bat_SLG,bat_TAV,batter_BASES_VS_AB,hit_mult,H_SIDE_pit,1B_SIDE_pit,2B_SIDE_pit,3B_SIDE_pit,HR_SIDE_pit,TB_SIDE_pit,SO_SIDE_pit,BB_SIDE_pit,HBP_SIDE_pit,SF_SIDE_pit,SH_SIDE_pit,DP_SIDE_pit,FB%_SIDE_pit,GB%_SIDE_pit,LD%_SIDE_pit,POP%_SIDE_pit,ISO_SIDE_pit,AVG_SIDE_pit,OBP_SIDE_pit,SLG_SIDE_pit,TAV_SIDE_pit,DRA_SIDE_pit,DRA-_SIDE_pit,CFIP_SIDE_pit,BASES_VS_AB_pit,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA
2.9,7.0,25.0,0.0,0.33,2.57,2.72,96.0,53.6,3.24,53.4,5.53,0.41,0.41,942.0,125.0,45.48,23.17,24.57,6.77,12.5,0.08,0.27,0.16,0.08,0.02,23.36,42.29,27.09,7.26,0.15,0.27,0.33,0.42,0.27,0.46,0.46,0.13,0.08,0.02,21.65,43.69,22.0,12.66,0.15,0.26,0.33,0.42,0.27,0.46,0.46,25.8,17.1,4.2,1.4,3.1,42.1,51.2,7.9,1.6,1.4,0.3,0.3,35.32,30.34,20.42,13.93,0.1,0.16,0.21,0.26,0.17,1.84,42.0,85.3,0.29,3.3,1.06,0.94,0.38,0.09,0.03,0.06,0.07,0.39,0.09,0.22,30.52,26.6,25.39,1.29,1.16,0.13,1.12,1.02
3.9,7.0,25.0,0.0,0.16,5.27,5.79,106.0,-0.3,5.03,0.1,0.01,0.58,0.58,1072.0,156.0,43.45,24.21,23.55,8.8,10.87,0.07,0.23,0.18,0.06,0.01,18.53,49.82,23.39,7.96,0.12,0.22,0.28,0.35,0.22,0.4,0.4,0.18,0.07,0.01,20.9,50.51,22.78,5.8,0.15,0.22,0.31,0.37,0.25,0.43,0.43,3.0,2.0,1.0,0.0,0.0,4.0,2.5,0.38,0.0,0.0,0.0,0.0,20.83,36.9,35.32,6.94,0.09,0.28,0.3,0.37,0.24,1.85,42.25,66.62,0.39,4.07,1.51,1.3,0.58,0.11,0.04,0.07,0.12,0.64,0.14,0.35,48.59,47.15,49.07,2.12,2.02,0.1,2.11,1.91
4.1,6.0,64.0,2.0,0.18,3.83,3.37,97.0,25.5,3.95,23.6,2.45,0.41,0.41,1096.0,133.0,46.55,21.91,23.86,7.68,13.77,0.15,0.42,0.3,0.15,0.02,23.01,43.59,24.72,8.38,0.16,0.24,0.31,0.4,0.26,0.45,0.45,0.06,0.03,0.01,25.26,44.96,22.91,6.87,0.12,0.23,0.32,0.35,0.25,0.42,0.44,24.33,17.33,6.0,0.0,1.0,33.33,20.0,10.0,0.0,1.33,0.67,5.67,16.41,57.08,20.22,6.29,0.08,0.23,0.29,0.31,0.22,4.33,98.67,96.0,0.36,3.22,1.3,0.89,0.42,0.08,0.03,0.05,0.09,0.49,0.11,0.27,34.81,33.38,35.17,1.5,1.49,0.01,1.53,1.43
5.5,7.0,82.0,5.0,0.14,6.85,4.5,107.0,-11.4,5.29,-11.4,-1.18,0.48,0.48,1252.0,181.0,44.15,23.09,25.61,7.15,13.24,0.1,0.29,0.17,0.1,0.01,26.75,42.69,22.78,7.78,0.2,0.25,0.33,0.45,0.27,0.49,0.49,0.08,0.04,0.01,23.62,47.98,21.27,7.13,0.15,0.23,0.31,0.38,0.24,0.43,0.42,30.78,20.22,6.11,0.0,4.44,50.22,18.33,8.56,2.89,0.44,0.0,3.89,18.9,51.47,26.06,3.56,0.18,0.28,0.34,0.45,0.27,7.42,168.89,115.78,0.48,3.17,1.54,0.8,0.47,0.08,0.04,0.04,0.1,0.58,0.12,0.27,40.44,40.06,41.61,1.85,1.78,0.07,1.83,1.7
5.0,5.0,85.0,7.0,0.18,6.12,4.95,108.0,-7.6,4.69,-7.6,-0.79,0.47,0.47,1200.0,170.0,43.98,24.19,23.7,8.13,12.47,0.1,0.31,0.16,0.1,0.02,26.61,40.96,24.66,7.77,0.2,0.26,0.33,0.46,0.28,0.49,0.49,0.06,0.03,0.01,21.8,46.12,24.88,7.21,0.17,0.23,0.3,0.4,0.25,0.45,0.46,28.62,18.75,5.25,0.75,3.88,47.0,24.75,16.38,3.5,1.0,0.0,5.38,19.48,52.82,21.59,6.1,0.16,0.25,0.35,0.4,0.27,7.07,160.75,115.88,0.46,4.02,1.34,1.26,0.52,0.11,0.04,0.07,0.1,0.53,0.12,0.3,39.79,38.12,38.96,1.76,1.68,0.08,1.72,1.54
4.0,7.0,25.0,0.0,0.25,4.45,4.31,99.0,9.1,3.66,9.1,0.94,0.46,0.46,991.0,126.0,44.82,24.13,23.36,7.69,12.38,0.1,0.33,0.14,0.1,0.02,24.35,43.68,25.57,6.39,0.21,0.27,0.34,0.48,0.28,0.51,0.51,0.09,0.04,0.01,21.29,48.73,24.07,5.91,0.15,0.24,0.32,0.38,0.26,0.43,0.41,38.78,26.33,7.56,0.0,4.89,61.0,48.89,12.22,2.67,0.11,0.0,7.44,25.26,42.53,22.15,10.05,0.14,0.24,0.31,0.38,0.23,4.59,104.78,108.89,0.42,3.14,1.24,0.94,0.36,0.08,0.03,0.05,0.09,0.47,0.1,0.27,33.5,33.87,36.48,1.43,1.45,-0.03,1.6,1.5
3.0,7.0,54.0,2.0,0.31,2.31,1.71,88.0,59.0,2.02,57.9,6.0,0.33,0.33,1148.0,159.0,43.99,24.29,24.18,7.54,10.22,0.07,0.25,0.17,0.07,0.02,18.7,50.15,24.7,6.15,0.12,0.23,0.29,0.36,0.25,0.4,0.4,0.22,0.11,0.03,25.23,43.13,24.26,7.38,0.14,0.23,0.31,0.37,0.25,0.42,0.42,28.67,22.78,4.11,0.0,1.78,38.11,47.89,10.78,1.78,0.22,1.0,2.0,15.95,43.75,28.7,11.59,0.07,0.21,0.28,0.29,0.21,2.65,60.44,81.67,0.33,2.4,1.09,0.56,0.35,0.06,0.03,0.03,0.07,0.38,0.08,0.19,30.03,27.21,27.21,1.24,1.18,0.06,1.18,1.07
4.9,6.0,87.0,4.0,0.15,6.03,6.17,100.0,-6.7,5.56,-7.8,-0.81,0.56,0.56,1223.0,188.0,45.12,22.78,25.36,6.74,11.58,0.09,0.28,0.15,0.08,0.01,22.86,45.68,24.05,7.11,0.15,0.25,0.31,0.4,0.26,0.44,0.44,0.16,0.07,0.01,20.47,48.36,25.49,5.67,0.14,0.26,0.32,0.39,0.26,0.43,0.43,39.88,23.25,7.75,1.25,7.62,73.0,19.0,12.25,0.38,1.38,2.38,1.0,24.54,42.48,25.18,7.79,0.26,0.31,0.37,0.56,0.33,6.56,149.38,119.25,0.58,3.54,1.67,0.86,0.53,0.09,0.04,0.05,0.1,0.57,0.12,0.3,42.99,42.99,41.77,1.89,1.89,-0.01,1.8,1.7
3.7,5.0,71.0,7.0,0.19,4.59,3.67,101.0,12.9,4.73,12.0,1.25,0.47,0.47,1047.0,132.0,46.37,21.65,25.69,6.28,13.5,0.04,0.11,0.06,0.03,0.0,25.3,41.58,23.35,8.78,0.15,0.23,0.3,0.38,0.24,0.44,0.44,0.15,0.09,0.02,22.73,44.28,24.8,8.18,0.18,0.27,0.35,0.45,0.28,0.49,0.49,29.14,18.71,5.57,0.43,4.43,48.86,29.29,12.14,2.14,0.0,1.57,3.43,28.13,40.35,25.4,6.11,0.15,0.24,0.31,0.38,0.25,3.56,81.14,101.86,0.42,3.74,1.59,0.88,0.42,0.1,0.04,0.06,0.08,0.49,0.11,0.28,32.58,35.2,35.57,1.42,1.53,-0.1,1.54,1.45
4.9,5.0,72.0,5.0,0.16,5.77,5.77,102.0,-5.0,4.63,-5.0,-0.52,0.45,0.45,1124.0,156.0,41.62,25.3,24.42,8.66,10.38,0.08,0.28,0.2,0.08,0.02,23.21,45.21,24.62,6.95,0.16,0.24,0.3,0.4,0.24,0.43,0.43,0.19,0.09,0.01,22.65,43.02,27.1,7.24,0.2,0.26,0.31,0.46,0.27,0.49,0.49,8.89,7.33,1.56,0.0,0.0,10.44,7.11,3.22,0.0,0.0,0.0,1.33,19.85,63.71,14.59,1.85,0.04,0.26,0.32,0.3,0.25,7.41,168.56,115.67,0.36,3.88,1.83,0.98,0.58,0.1,0.05,0.05,0.11,0.62,0.13,0.35,45.76,47.61,49.0,1.98,2.14,-0.15,2.14,1.98
4.1,5.0,86.0,10.0,0.12,5.2,5.18,92.0,0.3,5.99,0.3,0.03,0.53,0.53,1082.0,151.0,44.73,22.87,24.83,7.58,12.88,0.08,0.27,0.14,0.08,0.02,24.18,46.2,23.09,6.53,0.17,0.26,0.32,0.43,0.27,0.46,0.46,0.07,0.04,0.01,28.05,40.7,23.57,7.67,0.18,0.25,0.32,0.43,0.27,0.48,0.49,13.43,8.29,3.14,0.0,2.0,22.57,6.14,3.86,0.71,0.0,0.0,2.43,30.3,42.41,27.29,0.0,0.22,0.3,0.36,0.52,0.28,5.32,121.0,109.43,0.55,3.94,1.53,1.19,0.61,0.1,0.04,0.06,0.11,0.61,0.13,0.33,48.76,47.38,46.0,2.1,2.04,0.06,2.02,1.84
3.2,6.0,79.0,5.0,0.28,2.68,3.74,98.0,32.3,3.1,32.6,3.38,0.44,0.44,1043.0,145.0,46.71,21.8,24.15,7.34,10.51,0.08,0.25,0.16,0.08,0.02,20.72,49.71,23.52,5.75,0.16,0.23,0.29,0.39,0.24,0.44,0.44,0.09,0.03,0.01,24.21,44.59,25.42,5.78,0.16,0.23,0.31,0.39,0.25,0.44,0.43,21.12,12.5,6.25,0.25,2.12,34.25,35.5,8.25,0.88,1.12,0.0,1.88,26.0,38.14,32.13,3.72,0.13,0.21,0.27,0.34,0.23,1.85,41.62,74.88,0.38,5.1,1.46,1.73,0.56,0.14,0.04,0.1,0.11,0.57,0.14,0.39,40.32,41.81,41.81,1.68,1.77,-0.09,1.81,1.66
4.1,6.0,90.0,49.0,0.26,4.02,4.05,97.0,19.5,3.66,18.3,1.9,0.44,0.44,1096.0,133.0,46.55,21.91,23.86,7.68,13.77,0.15,0.42,0.3,0.15,0.02,23.01,43.59,24.72,8.38,0.16,0.24,0.31,0.4,0.26,0.45,0.45,0.17,0.08,0.02,23.01,46.66,22.41,7.93,0.16,0.24,0.31,0.41,0.26,0.45,0.45,29.11,18.33,5.89,0.89,4.0,48.78,39.56,11.0,0.56,0.56,1.11,2.0,25.09,42.0,21.99,10.92,0.15,0.24,0.3,0.39,0.25,2.86,65.11,87.0,0.43,4.03,1.62,1.11,0.52,0.1,0.04,0.06,0.11,0.61,0.14,0.33,43.54,41.75,43.99,1.88,1.86,0.01,1.91,1.79
3.9,6.0,73.0,11.0,0.18,7.24,5.22,102.0,-20.4,5.5,-22.2,-2.3,0.48,0.48,1047.0,132.0,46.37,21.65,25.69,6.28,13.5,0.1,0.29,0.15,0.09,0.01,23.91,43.72,25.52,6.55,0.18,0.24,0.3,0.41,0.25,0.46,0.46,0.15,0.09,0.02,22.14,45.3,24.79,7.77,0.18,0.27,0.35,0.45,0.29,0.49,0.49,20.75,15.5,3.25,0.62,1.38,29.38,24.62,24.62,0.75,1.0,1.0,3.12,18.35,54.81,19.9,6.93,0.09,0.22,0.39,0.31,0.26,7.16,162.75,118.38,0.45,5.08,2.16,1.2,0.56,0.13,0.06,0.08,0.11,0.66,0.14,0.39,44.27,47.84,48.34,1.93,2.08,-0.14,2.09,1.97
3.6,6.0,88.0,31.0,0.18,4.19,3.57,98.0,10.2,4.19,10.9,1.13,0.42,0.42,1072.0,156.0,43.45,24.21,23.55,8.8,10.87,0.07,0.23,0.18,0.06,0.01,18.53,49.82,23.39,7.96,0.12,0.22,0.28,0.35,0.22,0.4,0.4,0.07,0.03,0.0,25.89,42.67,24.22,7.22,0.13,0.22,0.29,0.35,0.23,0.4,0.39,15.29,9.43,4.0,0.29,1.57,24.57,16.14,2.14,0.57,0.0,0.71,3.43,17.3,50.13,26.19,6.38,0.13,0.21,0.24,0.34,0.19,2.81,63.71,89.14,0.35,3.84,1.43,1.23,0.55,0.1,0.04,0.06,0.11,0.6,0.14,0.33,45.9,44.54,46.35,2.0,1.91,0.1,2.0,1.81
4.4,7.0,25.0,0.0,0.27,4.2,4.18,104.0,15.5,3.88,13.9,1.44,0.43,0.43,1200.0,170.0,43.98,24.19,23.7,8.13,12.47,0.03,0.1,0.06,0.03,0.01,22.49,42.81,26.84,7.86,0.14,0.22,0.3,0.36,0.24,0.41,0.49,0.18,0.08,0.02,25.33,41.96,24.86,7.84,0.19,0.24,0.33,0.43,0.27,0.48,0.48,45.75,30.5,7.25,0.0,8.0,77.0,61.12,16.0,2.62,0.12,0.0,6.25,24.02,46.33,18.44,11.21,0.16,0.23,0.3,0.39,0.24,3.66,83.62,93.5,0.43,3.52,1.17,1.1,0.45,0.09,0.03,0.06,0.09,0.46,0.11,0.26,34.83,33.37,34.1,1.54,1.47,0.07,1.51,1.35
4.5,7.0,25.0,0.0,0.19,6.49,4.84,101.0,-7.9,5.02,-7.9,-0.82,0.46,0.46,991.0,126.0,44.82,24.13,23.36,7.69,12.38,0.1,0.33,0.14,0.1,0.02,24.35,43.68,25.57,6.39,0.21,0.27,0.34,0.48,0.28,0.51,0.51,0.09,0.03,0.01,18.56,49.98,25.45,6.01,0.16,0.27,0.34,0.43,0.28,0.47,0.43,24.78,12.56,7.56,0.0,4.67,46.33,18.89,5.56,1.89,1.89,0.0,4.56,31.49,32.51,24.13,11.85,0.21,0.25,0.3,0.46,0.25,6.54,148.33,124.0,0.47,4.27,1.69,1.28,0.49,0.11,0.04,0.07,0.12,0.63,0.14,0.37,45.6,46.11,49.65,1.94,1.98,-0.04,2.18,2.04
3.4,6.0,86.0,34.0,0.24,3.16,3.46,87.0,39.3,3.26,36.5,3.78,0.38,0.38,1148.0,159.0,43.99,24.29,24.18,7.54,10.22,0.07,0.25,0.17,0.07,0.02,18.7,50.15,24.7,6.15,0.12,0.23,0.29,0.36,0.25,0.4,0.4,0.14,0.06,0.01,20.87,47.94,24.82,6.37,0.12,0.24,0.31,0.37,0.26,0.41,0.41,30.11,22.67,4.0,0.0,3.44,44.44,28.0,10.44,0.44,1.11,1.0,1.56,21.59,47.61,23.25,7.55,0.14,0.27,0.34,0.41,0.28,3.87,87.78,95.67,0.45,2.98,1.36,0.7,0.43,0.07,0.03,0.04,0.08,0.48,0.1,0.23,37.31,33.8,33.8,1.54,1.46,0.08,1.46,1.33
4.1,5.0,80.0,11.0,0.2,4.74,3.61,95.0,13.2,3.96,9.8,1.01,0.41,0.41,1039.0,149.0,44.55,21.57,25.5,8.37,12.5,0.08,0.25,0.18,0.08,0.01,22.51,47.33,23.88,5.99,0.16,0.22,0.29,0.37,0.24,0.44,0.44,0.07,0.02,0.01,12.22,59.28,21.93,6.59,0.11,0.23,0.3,0.34,0.24,0.38,0.44,29.0,20.11,5.33,1.0,2.56,44.0,26.0,14.11,1.33,1.67,1.11,3.67,19.91,43.1,25.51,11.5,0.12,0.23,0.31,0.35,0.24,5.13,116.67,101.11,0.4,3.64,1.6,0.86,0.41,0.09,0.04,0.05,0.09,0.52,0.11,0.29,32.77,35.03,35.78,1.44,1.56,-0.12,1.54,1.49
5.3,7.0,75.0,15.0,0.23,5.57,4.72,108.0,-3.6,5.24,-3.4,-0.35,0.5,0.5,1252.0,181.0,44.15,23.09,25.61,7.15,13.24,0.04,0.13,0.07,0.04,0.0,28.18,40.69,22.46,8.67,0.24,0.26,0.34,0.49,0.28,0.54,0.5,0.18,0.09,0.01,24.31,43.83,23.95,7.9,0.19,0.24,0.32,0.43,0.26,0.47,0.47,29.0,16.56,5.22,0.44,6.78,55.44,34.11,12.44,4.56,0.89,0.0,4.11,23.46,46.9,20.5,9.14,0.17,0.25,0.33,0.42,0.26,7.68,174.67,121.11,0.46,2.97,1.44,0.75,0.44,0.07,0.04,0.04,0.1,0.54,0.11,0.26,37.9,37.54,39.0,1.73,1.67,0.06,1.72,1.59
4.5,5.0,75.0,11.0,0.18,4.85,4.59,100.0,8.9,4.84,8.5,0.88,0.47,0.47,1124.0,156.0,41.62,25.3,24.42,8.66,10.38,0.08,0.28,0.2,0.08,0.02,23.21,45.21,24.62,6.95,0.16,0.24,0.3,0.4,0.24,0.43,0.43,0.2,0.09,0.01,23.03,42.04,27.27,7.67,0.2,0.26,0.31,0.46,0.27,0.49,0.49,33.67,23.11,6.44,0.56,3.56,51.89,25.11,14.89,1.0,0.0,1.11,3.0,27.56,41.02,22.01,9.4,0.12,0.23,0.31,0.35,0.23,4.56,103.89,104.0,0.41,2.7,1.28,0.68,0.41,0.07,0.03,0.04,0.08,0.43,0.09,0.24,31.9,33.19,34.16,1.38,1.49,-0.11,1.5,1.38
3.9,6.0,65.0,7.0,0.21,6.04,5.1,104.0,-8.7,4.76,-8.5,-0.88,0.48,0.48,1171.0,165.0,43.09,24.19,24.83,7.89,10.46,0.07,0.26,0.17,0.07,0.02,23.78,41.5,26.03,8.69,0.14,0.23,0.29,0.38,0.24,0.41,0.41,0.08,0.03,0.01,23.83,42.75,23.13,10.29,0.1,0.25,0.3,0.35,0.23,0.39,0.44,29.67,19.11,7.56,0.0,3.0,46.22,26.33,18.67,1.0,0.44,0.0,4.11,20.01,53.04,24.4,2.56,0.16,0.28,0.39,0.44,0.28,7.29,165.89,118.78,0.52,3.3,1.28,1.11,0.57,0.09,0.03,0.05,0.11,0.57,0.13,0.31,42.25,43.54,43.97,1.9,1.94,-0.04,1.94,1.79
